latitude,longitude,blue_band,green_band,depth,stumpf_ratio,log_blue,log_green,bg_ratio
15.04375,80.87708333,0.0462,0.036,2321,1.069613378,-3.074775481,-3.324236341,1.283333333
9.627083333,82.21041667,0.0469,0.0344,3709,1.087607732,-3.059737604,-3.369698715,1.363372093
8.377083333,76.04375,0.0501,0.0337,1094,1.11272876,-2.993734271,-3.390257442,1.486646884
8.085416667,72.12708333,0.0489,0.0336,2566,1.106771531,-3.017977883,-3.393229212,1.455357143
9.085416667,74.29375,0.0339,0.0244,2732,1.102934207,-3.384340265,-3.713172147,1.389344262
21.37708333,89.54375,0.04485,0.0412,220,1.022828221,-3.10443169,-3.189317023,1.088592233
18.96041667,84.87708333,0.0524,0.0444,66,1.043674311,-2.948848688,-3.11451581,1.18018018
11.29375,75.21041667,0.0541,0.0416,52,1.07047397,-2.916921093,-3.179655112,1.300480769
7.127083333,78.54375,0.0342,0.0215,2398,1.151292275,-3.375529635,-3.839702344,1.590697674
9.377083333,74.83541667,0.052,0.0461,2599,1.031437392,-2.95651156,-3.076942329,1.127982646
14.46041667,81.91875,0.0488,0.0416,3226,1.042818095,-3.020024966,-3.179655112,1.173076923
7.627083333,78.54375,0.0369,0.0316,1835,1.044902223,-3.299543728,-3.454598158,1.167721519
20.91875,70.08541667,0.0472,0.0415,34,1.03454403,-3.053361386,-3.182061852,1.137349398
10.12708333,71.71041667,0.0434,0.0273,2352,1.14018404,-3.137295838,-3.600868577,1.58974359
7.085416667,82.12708333,0.04985,0.0367,2602,1.085001587,-2.998736783,-3.304978524,1.358310627
16.29375,84.12708333,0.0414,0.0322,3006,1.072383887,-3.184474398,-3.435788826,1.285714286
16.87708333,84.87708333,0.0503,0.0456,2794,1.025680558,-2.989750202,-3.087847562,1.103070175
22.62708333,68.83541667,0.09935,0.1189,28,0.962406194,-2.30910631,-2.129472475,0.835576114
7.627083333,74.04375,0.036,0.02625,2763,1.096660109,-3.324236341,-3.64008929,1.371428571
18.79375,72.83541667,0.071,0.0866,14,0.955479357,-2.645075402,-2.446455463,0.819861432
17.37708333,71.25208333,0.0459,0.0325,923,1.099167256,-3.081290162,-3.42651519,1.412307692
8.002083333,75.41875,0.05555,0.0434,2227,1.065462599,-2.890471763,-3.137295838,1.279953917
14.12708333,73.87708333,0.0499,0.03835,61,1.072191992,-2.997734276,-3.261000751,1.301173403
12.33541667,89.46041667,0.0334,0.0182,3076,1.20925408,-3.399199379,-4.006333685,1.835164835
9.627083333,81.37708333,0.0426,0.0269,3796,1.139644694,-3.155901026,-3.615628992,1.583643123
17.75208333,84.12708333,0.0442,0.0338,1597,1.076201384,-3.11903049,-3.387294476,1.307692308
11.66875,75.04375,0.04465,0.0338,52,1.079078712,-3.108900972,-3.387294476,1.321005917
14.21041667,72.25208333,0.0451,0.0313,1956,1.106069877,-3.098873032,-3.464137181,1.440894569
17.29375,72.75208333,0.039357143,0.0323,62,1.05686516,-3.235077796,-3.432688049,1.218487399
8.002083333,78.91875,0.0375,0.0289,1851,1.077441024,-3.283414346,-3.543913684,1.297577855
7.335416667,73.75208333,0.0354,0.0237,2651,1.126754047,-3.341043459,-3.742280231,1.493670886
8.210416667,73.37708333,0.0405,0.02685,2068,1.124924907,-3.206453305,-3.617489458,1.508379888
6.835416667,73.75208333,0.0405,0.0282,2609,1.108399249,-3.206453305,-3.568433301,1.436170213
18.16875,72.37708333,0.0377,0.0341,41,1.028437023,-3.278095185,-3.378457895,1.105571848
8.54375,71.83541667,0.0368,0.0217,3414,1.171638605,-3.302257434,-3.830443018,1.695852535
20.96041667,70.04375,0.044825,0.0393,32,1.035830416,-3.104989259,-3.23653076,1.140585242
15.62708333,72.83541667,0.0391,0.0288,162,1.09098599,-3.241632812,-3.547379892,1.357638889
8.29375,83.04375,0.0646,0.0598,3811,1.018872804,-2.739540868,-2.816749618,1.080267559
18.46041667,85.71041667,0.0419,0.0349,2189,1.051456629,-3.172469452,-3.35526845,1.200573066
19.96041667,87.21041667,0.036,0.0234,915,1.136637801,-3.324236341,-3.755019257,1.538461538
16.21041667,84.54375,0.04425,0.0344,3009,1.071168678,-3.117899908,-3.369698715,1.286337209
14.71041667,82.08541667,0.04135,0.03035,3290,1.090622427,-3.185682858,-3.494958761,1.362438221
15.66875,73.58541667,0.0568,0.0518,26,1.02334357,-2.868218953,-2.96036513,1.096525097
15.66875,72.87708333,0.038,0.0305,115,1.064329157,-3.270169119,-3.490028595,1.245901639
6.085416667,82.79375,0.0618,0.055,4028,1.029089216,-2.783851915,-2.900422094,1.123636364
6.335416667,78.21041667,0.0416,0.02905,2961,1.106583471,-3.179655112,-3.538736796,1.432013769
19.71041667,85.66875,0.04905,0.04335,23,1.032773529,-3.014915093,-3.138448576,1.131487889
13.75208333,80.91875,0.0406,0.0326,3073,1.062983958,-3.203987212,-3.423442991,1.245398773
9.627083333,71.37708333,0.03865,0.02465,3646,1.140343584,-3.253208504,-3.702978378,1.567951318
16.04375,84.25208333,0.0497,0.041,3019,1.051818805,-3.001750346,-3.194183212,1.212195122
20.58541667,88.16875,0.04095,0.03255,104,1.065917059,-3.195403469,-3.42497791,1.258064516
16.41875,83.21041667,0.04285,0.032,2670,1.08424466,-3.150049634,-3.442019376,1.3390625
6.04375,79.33541667,0.0728,0.0552,3375,1.068999142,-2.620039324,-2.896792326,1.31884058
19.08541667,88.29375,0.0458,0.0304,1998,1.120031739,-3.083471188,-3.493312671,1.506578947
8.877083333,72.08541667,0.0449,0.0313,2845,1.104779243,-3.103317484,-3.464137181,1.434504792
11.62708333,89.21041667,0.0317,0.0128,3186,1.355713282,-3.451438598,-4.358310108,2.4765625
6.210416667,78.33541667,0.0386,0.0246,2821,1.140662348,-3.254503003,-3.705008836,1.569105691
8.29375,79.62708333,0.0533,0.0578,1012,0.980021526,-2.931818948,-2.850766503,0.922145329
17.79375,84.96041667,0.0388,0.0296,2472,1.079888994,-3.249335032,-3.519980918,1.310810811
